job_id,config,project,initial_numPass,is_success,max_numPass,final_fitness,final_iteration,optimal_iteration,first_improvement_iteration,convergence_90_iteration,total_evaluations,actual_executions,predictions,duration_seconds,prediction_rate,time_to_first_improvement_sec
165,TO-70,FruitCatching-1,1,False,17,24.143969810146285,348,,119.0,185,16752,5360,11392,12097.0,68.00382043935052,4136.617816091954
166,TO-70,FruitCatching-10,2,False,7,18.687301587301587,127,,1.0,1,6144,2019,4125,4668.0,67.138671875,36.75590551181102
167,TO-70,FruitCatching-11,12,False,12,24.0,152,,,31,7344,2168,5176,11466.0,70.479302832244,
168,TO-70,FruitCatching-12,0,False,2,17.0,190,,31.0,19,9168,2676,6492,3179.0,70.81151832460732,518.6789473684211
169,TO-70,FruitCatching-13,1,False,8,17.09285714285714,241,,18.0,18,11616,3788,7828,4717.0,67.38980716253444,352.3070539419087
170,TO-70,FruitCatching-14,22,False,22,25.977272727272727,100,,,0,4848,1529,3319,5881.0,68.46122112211222,
171,TO-70,FruitCatching-15,21,False,22,26.20511253589795,140,,40.0,0,6768,2225,4543,7842.0,67.12470449172578,2240.5714285714284
172,TO-70,FruitCatching-16,7,False,25,27.1,100,,1.0,0,4848,1640,3208,3029.0,66.17161716171617,30.29
173,TO-70,FruitCatching-17,3,False,13,24.0,203,,22.0,10,9792,2850,6942,5171.0,70.89460784313727,560.4039408866995
174,TO-70,FruitCatching-18,9,False,13,26.0,125,,1.0,23,6048,1826,4222,5398.0,69.80820105820106,43.184
175,TO-70,FruitCatching-19,18,False,19,25.194498256183305,222,,9.0,0,10704,3590,7114,12063.0,66.4611360239163,489.0405405405406
176,TO-70,FruitCatching-2,12,False,15,23.23208295896975,121,,1.0,0,5856,1901,3955,7783.0,67.53756830601093,64.32231404958678
177,TO-70,FruitCatching-20,20,False,21,25.301441102756893,100,,54.0,0,4848,1632,3216,6783.0,66.33663366336634,3662.82
178,TO-70,FruitCatching-21,18,False,22,26.063624338624336,136,,1.0,0,6576,2206,4370,7784.0,66.45377128953771,57.23529411764706
